name,prompts_count,volume,volume_trend,intents
Purificadores de Ar Portáteis,15,76,34;93;100;85;79;85;82;51;43;51;47;56,task:2;informational:46;navigational:3;commercial:39;transactional:10
Esfregões e limpeza doméstica,17,2221,60;82;85;83;83;90;97;97;99;98;100;99,task:7;informational:53;navigational:1;commercial:35;transactional:4
Aparadores de Canto,15,972,68;91;100;87;78;70;68;67;56;56;54;54,task:2;informational:50;navigational:4;commercial:34;transactional:10
Robôs aspiradores com mapeamento,25,1221,67;87;68;56;100;86;85;71;79;75;73;73,task:5;informational:61;navigational:5;commercial:21;transactional:8
Aspiradores Electrolux stk15,27,6794,69;83;84;83;83;86;86;55;100;100;100;100,informational:56;navigational:19;commercial:21;transactional:4
Limpeza doméstica,26,2024,44;52;53;53;98;100;99;65;63;63;64;64,task:2;informational:60;navigational:5;commercial:17;transactional:16
Samsung Jet Bot e Robôs Aspiradores,16,1590,30;54;57;41;42;36;34;100;51;79;86;92,task:2;informational:67;navigational:10;commercial:13;transactional:8
Esfregões e limpadores de piso elétricos,29,5978,20;25;27;28;73;73;74;100;34;34;34;34,task:1;informational:54;navigational:5;commercial:26;transactional:14
Aparadores com Rodas,15,532,25;59;81;56;55;61;64;99;100;25;25;76,task:3;informational:57;navigational:12;commercial:18;transactional:10
Robôs aspiradores Abir X8,17,218,65;59;61;63;74;80;91;100;97;86;84;84,task:10;informational:31;navigational:11;commercial:28;transactional:20
Aspiradores Electrolux Erg22,17,1045,21;45;49;34;44;50;37;28;24;100;88;75,informational:41;navigational:20;commercial:30;transactional:9
Conserto de robô aspirador,16,515,24;56;51;52;51;68;60;40;39;63;100;100,task:17;informational:38;navigational:4;commercial:14;transactional:27
Aspiradores Karcher NT 3000,21,237,40;45;43;88;100;64;55;74;57;66;67;71,task:3;informational:52;navigational:12;commercial:14;transactional:19
Casa: vassouras e armários,18,2292,30;34;55;63;83;84;83;94;99;91;87;100,task:2;informational:48;navigational:5;commercial:25;transactional:20
escovas elétricas de limpeza,59,17094,47;56;64;71;82;83;83;90;100;100;100;100,task:5;informational:40;navigational:4;commercial:39;transactional:12
Purificadores de ar para casa,54,49441,16;18;21;92;34;34;35;100;95;95;95;95,task:2;informational:48;navigational:2;commercial:36;transactional:12
Casas Bahia: Aspiradores e Fogões,15,866,19;28;27;25;36;37;51;48;42;100;92;62,task:3;informational:16;navigational:52;commercial:12;transactional:17
Ventiladores Domésticos,24,7988,90;97;100;48;59;60;60;54;59;59;59;58,task:5;informational:42;navigational:5;commercial:34;transactional:14
