name,prompts_count,volume,volume_trend,intents
Water Flossers & Waterpik Irrigators,29,12102,55;59;61;31;40;40;41;100;46;46;46;45,task:1;informational:47;navigational:9;commercial:23;transactional:20
YFood app and meal replacements,15,359,33;38;39;38;87;100;70;89;40;40;40;40,task:3;informational:39;navigational:18;commercial:32;transactional:8
Batatas: Cozinha Rápida no Micro-ondas e na Panela de Pressão,161,107950,12;21;16;46;90;90;90;100;100;100;100;100,task:8;informational:74;navigational:2;commercial:8;transactional:8
Smart Kits,16,1255,25;27;27;34;51;56;53;47;52;94;100;100,task:2;informational:43;navigational:32;commercial:14;transactional:9
Unilever Food Solutions,16,39,48;93;91;50;46;45;45;100;86;48;46;46,task:3;informational:39;navigational:38;commercial:15;transactional:5
Cooktops e Ponto Frio,15,213,12;46;74;50;64;36;32;79;61;100;89;99,task:7;informational:18;navigational:47;commercial:10;transactional:18
Fornos Venax embutidos,23,2217,89;100;100;56;81;84;84;83;91;98;85;85,task:2;informational:49;navigational:15;commercial:16;transactional:18
Geek Bar Vapes,17,572,85;100;93;85;58;62;63;53;54;54;54;54,task:3;informational:48;navigational:20;commercial:18;transactional:11
Panelas e pipoqueiras para pipoca,22,6934,20;27;28;29;29;31;31;34;100;100;100;100,task:5;informational:41;navigational:4;commercial:35;transactional:15
Smart Home Hubs,18,810,84;99;100;67;58;64;65;90;85;86;63;62,task:5;informational:64;navigational:8;commercial:19;transactional:4
Forno Elétrico com Espeto Giratório,15,1416,18;21;22;20;46;24;26;56;38;77;92;100,task:5;informational:65;navigational:5;commercial:15;transactional:10
Forno Elétrico Mueller,36,6723,48;60;64;73;94;95;97;100;100;99;99;98,informational:54;navigational:21;commercial:16;transactional:9
Artisan Mini Mixers,17,2183,63;89;95;89;90;94;95;100;97;96;96;95,task:3;informational:50;navigational:11;commercial:26;transactional:10
Panelas Flavorstone e frigideiras antiaderentes,17,907,62;88;95;83;76;81;83;67;90;100;77;77,task:10;informational:51;navigational:1;commercial:34;transactional:4
Frigideiras antiaderentes no Mercado Livre,15,264,68;94;100;89;92;87;84;68;68;88;86;86,task:3;informational:14;navigational:56;commercial:8;transactional:19
Breakfast Essentials,16,115,100;36;37;36;20;19;19;18;18;18;18;18,task:5;informational:70;navigational:8;commercial:12;transactional:5
Snack Box,15,178,22;23;24;24;22;22;22;17;41;100;16;16,task:8;informational:51;navigational:10;commercial:21;transactional:10
CPU Cooling Solutions,17,3112,49;55;28;47;83;85;85;100;86;86;86;85,task:2;informational:48;navigational:1;commercial:40;transactional:9
Oster Grill e Sanduicheiras,22,3128,65;90;94;90;86;93;95;89;91;90;100;100,task:3;informational:47;navigational:7;commercial:20;transactional:23
Churrasqueiras,16,435,83;97;100;99;64;66;65;59;62;54;62;63,task:5;informational:50;navigational:4;commercial:25;transactional:16
Razer BlackWidow Mini Keyboards,15,149,6;9;9;19;19;18;34;29;100;95;15;32,task:3;informational:32;navigational:47;commercial:13;transactional:5
Gizmo Tech & AI,18,2492,28;34;35;36;87;89;91;100;38;37;37;37,task:5;informational:54;navigational:26;commercial:9;transactional:6
Fornos com convecção,55,12061,40;47;48;57;86;88;88;100;99;99;99;99,task:5;informational:62;navigational:4;commercial:26;transactional:3
Smart Cups & Bottles,17,806,20;20;30;55;81;83;77;100;62;53;52;52,task:2;informational:64;navigational:4;commercial:24;transactional:6
Churrasqueiras e Cia,15,304,15;48;100;60;23;22;16;20;19;59;55;55,task:3;informational:23;navigational:49;commercial:20;transactional:5
